Timing is on.
 ss_customer_sk | sumsales 
----------------+----------
            254 |     0.00
           1384 |     0.00
           1466 |     0.00
           1709 |     0.00
           2140 |     0.00
           2338 |     0.00
           2532 |     0.00
           2807 |     0.00
           2967 |     0.00
           3136 |     0.00
           3219 |     0.00
           3726 |     0.00
           3893 |     0.00
           4069 |     0.00
           5292 |     0.00
           5316 |     0.00
           5783 |     0.00
           5811 |     0.00
           6239 |     0.00
           7351 |     0.00
           7417 |     0.00
           7708 |     0.00
           7871 |     0.00
           8208 |     0.00
           8420 |     0.00
           8529 |     0.00
           8621 |     0.00
           8650 |     0.00
           9124 |     0.00
           9146 |     0.00
           9183 |     0.00
           9457 |     0.00
           9468 |     0.00
           9787 |     0.00
          10015 |     0.00
          10138 |     0.00
          10276 |     0.00
          10376 |     0.00
          11141 |     0.00
          11425 |     0.00
          11816 |     0.00
          11844 |     0.00
          12519 |     0.00
          12633 |     0.00
          12734 |     0.00
          12889 |     0.00
          12912 |     0.00
          13493 |     0.00
          13525 |     0.00
          13804 |     0.00
          13893 |     0.00
          13936 |     0.00
          14059 |     0.00
          14261 |     0.00
          14304 |     0.00
          14458 |     0.00
          14538 |     0.00
          14586 |     0.00
          14620 |     0.00
          14830 |     0.00
          14892 |     0.00
          15247 |     0.00
          15323 |     0.00
          15665 |     0.00
          15932 |     0.00
          16023 |     0.00
          16204 |     0.00
          16593 |     0.00
          17621 |     0.00
          18163 |     0.00
          18212 |     0.00
          18246 |     0.00
          18613 |     0.00
          18801 |     0.00
          18906 |     0.00
          20332 |     0.00
          20683 |     0.00
          20734 |     0.00
          20919 |     0.00
          21633 |     0.00
          22314 |     0.00
          22715 |     0.00
          22924 |     0.00
          22964 |     0.00
          23110 |     0.00
          23257 |     0.00
          23838 |     0.00
          24076 |     0.00
          24178 |     0.00
          24415 |     0.00
          24606 |     0.00
          24763 |     0.00
          24770 |     0.00
          25118 |     0.00
          25234 |     0.00
          25617 |     0.00
          25724 |     0.00
          26913 |     0.00
          27286 |     0.00
          27410 |     0.00
(100 rows)

Time: 172,066 ms
