Timing is on.
 ss_customer_sk | sumsales 
----------------+----------
            120 |     0.00
            351 |     0.00
            394 |     0.00
            396 |     0.00
            442 |     0.00
            550 |     0.00
            681 |     0.00
            757 |     0.00
            845 |     0.00
            916 |     0.00
           1881 |     0.00
           1885 |     0.00
           1931 |     0.00
           2237 |     0.00
           2454 |     0.00
           2595 |     0.00
           3519 |     0.00
           3542 |     0.00
           3604 |     0.00
           3613 |     0.00
           3642 |     0.00
           3890 |     0.00
           3904 |     0.00
           4036 |     0.00
           4133 |     0.00
           4212 |     0.00
           4262 |     0.00
           4266 |     0.00
           4292 |     0.00
           4321 |     0.00
           4405 |     0.00
           4462 |     0.00
           4661 |     0.00
           4918 |     0.00
           5075 |     0.00
           5094 |     0.00
           5153 |     0.00
           5329 |     0.00
           5656 |     0.00
           5780 |     0.00
           5806 |     0.00
           5942 |     0.00
           5978 |     0.00
           6023 |     0.00
           6156 |     0.00
           6193 |     0.00
           7153 |     0.00
           7189 |     0.00
           7228 |     0.00
           7452 |     0.00
           7494 |     0.00
           7570 |     0.00
           7931 |     0.00
           8047 |     0.00
           8181 |     0.00
           8285 |     0.00
           8750 |     0.00
           8782 |     0.00
           8812 |     0.00
           8876 |     0.00
           9057 |     0.00
           9295 |     0.00
           9397 |     0.00
           9707 |     0.00
           9868 |     0.00
           9896 |     0.00
           9898 |     0.00
           9924 |     0.00
          10009 |     0.00
          10166 |     0.00
          10311 |     0.00
          10355 |     0.00
          10439 |     0.00
          10572 |     0.00
          10619 |     0.00
          10789 |     0.00
          10867 |     0.00
          10872 |     0.00
          10934 |     0.00
          11157 |     0.00
          11173 |     0.00
          11257 |     0.00
          11759 |     0.00
          11888 |     0.00
          12014 |     0.00
          12391 |     0.00
          12555 |     0.00
          12992 |     0.00
          13133 |     0.00
          13188 |     0.00
          13417 |     0.00
          13466 |     0.00
          13616 |     0.00
          13639 |     0.00
          13752 |     0.00
          13956 |     0.00
          14014 |     0.00
          14229 |     0.00
          14249 |     0.00
          14592 |     0.00
(100 rows)

Time: 3889,373 ms (00:03,889)
