Timing is on.
          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
--------------------------------+----------------------+--------------+-----------------------+------------------+-----
 Acevedo                        | Michael              | Dr.          | N                     |            25911 |  15
 Adams                          | Debra                | Dr.          | Y                     |           147482 |  15
 Adams                          | Marcus               | Mr.          | Y                     |           424390 |  16
 Albrecht                       | Milton               | Dr.          | Y                     |           157457 |  15
 Alfred                         | Elizabeth            | Dr.          | Y                     |           278686 |  16
 Ali                            | Judy                 | Mrs.         | Y                     |            76614 |  15
 Allen                          | Carlos               | Dr.          | Y                     |           264121 |  16
 Allen                          | Garrett              | Mr.          | Y                     |           311680 |  15
 Alvarez                        | Clifford             | Mr.          | Y                     |           407883 |  16
 Anderson                       | Gregory              | Dr.          | Y                     |           252933 |  15
 Anderson                       | Gregory              | Sir          | N                     |           159369 |  15
 Anderson                       | Randall              | Mr.          | N                     |            97731 |  15
 Anderson                       | Raymond              | Dr.          | N                     |           119343 |  15
 Andrade                        | Xenia                | Mrs.         | Y                     |           411404 |  16
 Archer                         | Tina                 | Mrs.         | N                     |           190045 |  15
 Arredondo                      | Christopher          | Mr.          | Y                     |           230456 |  15
 Austin                         | Kathlyn              | Miss         | N                     |           224482 |  15
 Avalos                         | James                | Mr.          | Y                     |           259132 |  15
 Avalos                         | Tammy                | Dr.          | Y                     |           267088 |  15
 Baker                          | Matthew              | Mr.          | N                     |           333114 |  15
 Ballard                        | Cindy                | Ms.          | N                     |           401889 |  15
 Banks                          | Richard              | Mr.          | N                     |           206234 |  15
 Barbee                         | Robert               | Dr.          | Y                     |           323805 |  15
 Barnett                        | Esmeralda            | Ms.          | N                     |           306930 |  15
 Barrett                        | Joshua               | Dr.          | N                     |            53540 |  15
 Barrientos                     | Rhonda               | Miss         | Y                     |           344166 |  15
 Bateman                        | David                | Mr.          | N                     |           352008 |  15
 Beach                          | Germaine             | Mrs.         | Y                     |           418824 |  16
 Beck                           | Brittany             | Ms.          | N                     |           349030 |  16
 Becker                         | Nancy                | Miss         | Y                     |           185949 |  15
 Bell                           | Debra                | Mrs.         | N                     |           429795 |  15
 Bell                           | Susanna              | Ms.          | N                     |             9305 |  15
 Bender                         | Frank                | Mr.          | N                     |           123146 |  15
 Benitez                        | Victor               | Mr.          | Y                     |            85084 |  15
