Timing is on.
          c_last_name           |     c_first_name     |     ca_city     |   bought_city   | ss_ticket_number |   amt    |  profit   
--------------------------------+----------------------+-----------------+-----------------+------------------+----------+-----------
 Acevedo                        | Harold               | Oakland         | Springfield     |            67211 |  2179.70 |  -3277.33
 Adam                           | Su                   | Cordova         | Red Hill        |           186659 |     0.00 |  -9622.37
 Adams                          | Aimee                | Union Hill      | Unionville      |           402016 |   668.18 | -16703.78
 Adams                          | Benjamin             | Woodville       | Lebanon         |           376992 |     0.00 | -12266.65
 Adams                          | Dina                 | Lakewood        | Mount Pleasant  |           205506 |   147.20 |  -1095.55
 Adams                          | Douglas              | Tremont         | Roscoe          |           469104 |   212.19 | -11859.27
 Adams                          | Jason                | Fairview        | Spring Valley   |           402420 |   940.15 | -11995.02
 Adams                          | Roy                  | Union Hill      | Riverside       |            15245 |  1796.90 |  -5363.73
 Adams                          | Sherri               | Mount Olive     | Franklin        |            51411 |  2895.01 |  -6844.28
 Adams                          | Vanessa              | Springfield     | White Oak       |            22750 |  3172.82 | -19889.18
 Adams                          | Walter               | Mount Pleasant  | Newtown         |           331533 |   483.59 |  -1530.57
 Adams                          | Wilford              | Bethel          | Springdale      |           461741 |  3055.64 | -11725.46
 Adamson                        | John                 | Five Points     | New Hope        |            17252 |  2414.97 | -13770.58
 Adcock                         | Aaron                | Highland        | Oakwood         |           315015 |     6.77 |    802.39
 Addison                        | Carlotta             | Woodville       | Friendship      |           443975 |     0.00 | -15645.28
 Adkins                         | Christopher          | Sunnyside       | Oak Hill        |           431705 |   837.56 |  -3437.12
 Adkins                         | Edward               | Florence        | Montpelier      |            82672 |  1211.83 |  -6255.58
 Adkins                         | Gregory              | Shady Grove     | Mount Olive     |           279863 |  1090.18 |  -8892.75
 Adkins                         | Judith               | Mount Zion      | Riceville       |            55938 |  1492.25 |  -3762.49
 Adkins                         | Ralph                | Unionville      | Belmont         |            40074 |   262.52 | -20732.41
 Aguilar                        | Roxane               | Sunnyside       | Waterloo        |            63124 |  4251.84 | -14514.20
 Akers                          | Dolores              | Spring Valley   | Fairfield       |           173798 |   167.32 |   2971.30
 Akin                           | Thomas               | Oakdale         | Riverdale       |           230740 |  5303.66 |  -2184.33
 Alarcon                        | Lisa                 | Crossroads      | Five Points     |           189474 |   234.72 |  -6408.06
 Albers                         | Tom                  | Ashland         | Milo            |           167890 |  1024.02 |  -6041.12
 Albert                         | Ian                  | Florence        | Green Acres     |            20527 |   804.56 |  -5414.76
 Alderman                       | William              | Glenwood        | Parkwood        |           401599 |   488.69 | -13976.38
 Aldridge                       | Evelyn               | Plainview       | Glenwood        |           402417 |  3322.36 | -18311.99
 Aleman                         | Debbie               | Greenwood       | Shiloh          |           274593 |  8430.66 | -13622.14
